modo;vertices;aristas;duracion;resultado
basico;100;99;2158192
basico;100;104;2229904
basico;100;109;2211040
basico;100;114;2172888
basico;100;119;2230688
basico;100;124;2181260
basico;100;129;2159752
basico;100;134;2179968
basico;100;139;2166880
basico;100;144;2156400
basico;100;149;2237404
basico;100;154;2172136
basico;100;159;2562200
basico;100;164;2183616
basico;100;169;2210380
basico;100;174;2168476
basico;100;179;2184092
basico;100;184;2182268
basico;100;189;2201236
basico;100;194;2220808
basico;100;199;2196280
basico;100;204;2156624
basico;100;209;2208636
basico;100;214;2202860
basico;100;219;2148400
basico;100;224;2231840
basico;100;229;2163732
basico;100;234;2213392
basico;100;239;2204132
basico;100;244;2195720
basico;100;249;2209240
basico;100;254;2239956
basico;100;259;2260440
basico;100;264;2293112
basico;100;269;2516656
basico;100;274;2187952
basico;100;279;2171436
basico;100;284;2410336
basico;100;289;2208536
basico;100;294;2199664
basico;100;299;3132372
basico;100;304;2224280
basico;100;309;2229772
basico;100;314;2197532
basico;100;319;2318260
basico;100;324;2186728
basico;100;329;2243360
basico;100;334;2203420
basico;100;339;2254260
basico;100;344;2229008
basico;100;349;2321504
basico;100;354;2262304
basico;100;359;2253624
basico;100;364;2214036
basico;100;369;2198620
basico;100;374;2690560
basico;100;379;2298768
